国名,訪日外客数,年月日
アイルランド,1086.0,2023/2/01
アフリカ計,1997.0,2023/2/01
イスラエル,1216.0,2023/2/01
イタリア,4627.0,2023/2/01
インド,7051.0,2023/2/01
インドネシア,26802.0,2023/2/01
オセアニア計,41773.0,2023/2/01
オランダ,2510.0,2023/2/01
オーストリア,1085.0,2023/2/01
カナダ,19010.0,2023/2/01
シンガポール,27078.0,2023/2/01
スイス,2211.0,2023/2/01
スウェーデン,1786.0,2023/2/01
スペイン,3322.0,2023/2/01
タイ,73292.0,2023/2/01
デンマーク,1187.0,2023/2/01
トルコ,1107.0,2023/2/01
ドイツ,9302.0,2023/2/01
ニュージーランド,3891.0,2023/2/01
ノルウェー,1069.0,2023/2/01
フィリピン,33934.0,2023/2/01
フィンランド,1176.0,2023/2/01
フランス,12251.0,2023/2/01
ブラジル,1884.0,2023/2/01
ベトナム,55847.0,2023/2/01
ベルギー,1338.0,2023/2/01
ポルトガル,858.0,2023/2/01
ポーランド,1377.0,2023/2/01
マカオ,1757.0,2023/2/01
マレーシア,31992.0,2023/2/01
メキシコ,2339.0,2023/2/01
モンゴル,2058.0,2023/2/01
ヨーロッパ計,66818.0,2023/2/01
ロシア,1378.0,2023/2/01
中国,36285.0,2023/2/01
北アメリカ計,109099.0,2023/2/01
北欧地域,5218.0,2023/2/01
南アメリカ計,4400.0,2023/2/01
台湾,248493.0,2023/2/01
無国籍・その他,22.0,2023/2/01
米国,86946.0,2023/2/01
英国,15579.0,2023/2/01
豪州,37680.0,2023/2/01
韓国,568622.0,2023/2/01
香港,119405.0,2023/2/01
GCC6か国,2024.0,2023/3/01
その他アジア,20928.0,2023/3/01
その他オセアニア,267.0,2023/3/01
その他ヨーロッパ,12784.0,2023/3/01
その他北アメリカ,1499.0,2023/3/01
その他南アメリカ,4862.0,2023/3/01
アイルランド,2306.0,2023/3/01
アフリカ計,2897.0,2023/3/01
イスラエル,8229.0,2023/3/01
イタリア,12737.0,2023/3/01
インド,14864.0,2023/3/01
インドネシア,33173.0,2023/3/01
オセアニア計,50667.0,2023/3/01
オランダ,5983.0,2023/3/01
オーストリア,2513.0,2023/3/01
カナダ,36370.0,2023/3/01
シンガポール,52671.0,2023/3/01
スイス,4895.0,2023/3/01
スウェーデン,3534.0,2023/3/01
スペイン,7557.0,2023/3/01
タイ,107975.0,2023/3/01
デンマーク,3209.0,2023/3/01
トルコ,2088.0,2023/3/01
ドイツ,25898.0,2023/3/01
ニュージーランド,5211.0,2023/3/01
ノルウェー,2779.0,2023/3/01
フィリピン,46569.0,2023/3/01
フィンランド,2003.0,2023/3/01
フランス,21223.0,2023/3/01
ブラジル,4833.0,2023/3/01
ベトナム,53653.0,2023/3/01
ベルギー,2824.0,2023/3/01
ポルトガル,1999.0,2023/3/01
ポーランド,3676.0,2023/3/01
マカオ,2950.0,2023/3/01
マレーシア,38904.0,2023/3/01
メキシコ,5750.0,2023/3/01
モンゴル,3072.0,2023/3/01
ヨーロッパ計,154137.0,2023/3/01
ロシア,3414.0,2023/3/01
中国,75814.0,2023/3/01
北アメリカ計,246660.0,2023/3/01
北欧地域,11525.0,2023/3/01
南アメリカ計,9695.0,2023/3/01
台湾,278902.0,2023/3/01
無国籍・その他,53.0,2023/3/01
米国,203041.0,2023/3/01
英国,34803.0,2023/3/01
豪州,45189.0,2023/3/01
韓国,466810.0,2023/3/01
香港,144881.0,2023/3/01
イタリア,15600.0,2023/4/01
インド,16300.0,2023/4/01
インドネシア,48700.0,2023/4/01
カナダ,36800.0,2023/4/01
シンガポール,42000.0,2023/4/01
スペイン,8300.0,2023/4/01
タイ,121000.0,2023/4/01
ドイツ,27400.0,2023/4/01
フィリピン,62800.0,2023/4/01
フランス,34400.0,2023/4/01
ベトナム,55200.0,2023/4/01
マレーシア,40200.0,2023/4/01
メキシコ,9300.0,2023/4/01
ロシア,4400.0,2023/4/01
中国,108300.0,2023/4/01
北欧地域,11600.0,2023/4/01
台湾,291600.0,2023/4/01
米国,183900.0,2023/4/01
英国,36500.0,2023/4/01
豪州,56100.0,2023/4/01
韓国,467000.0,2023/4/01
香港,152800.0,2023/4/01
イタリア,11800.0,2023/5/01
インド,18000.0,2023/5/01
インドネシア,31100.0,2023/5/01
カナダ,42300.0,2023/5/01
シンガポール,49700.0,2023/5/01
スペイン,8600.0,2023/5/01
タイ,80700.0,2023/5/01
ドイツ,23100.0,2023/5/01
フィリピン,49900.0,2023/5/01
フランス,26800.0,2023/5/01
ベトナム,45800.0,2023/5/01
マレーシア,34000.0,2023/5/01
メキシコ,8500.0,2023/5/01
ロシア,3000.0,2023/5/01
中国,134400.0,2023/5/01
北欧地域,8600.0,2023/5/01
台湾,303300.0,2023/5/01
米国,183400.0,2023/5/01
英国,27700.0,2023/5/01
豪州,40800.0,2023/5/01
韓国,515700.0,2023/5/01
香港,154400.0,2023/5/01
GCC6か国,,2023/Unnamed: 1/01
イスラエル,,2023/Unnamed: 1/01
スウェーデン,,2023/Unnamed: 1/01
デンマーク,,2023/Unnamed: 1/01
トルコ,,2023/Unnamed: 1/01
ノルウェー,,2023/Unnamed: 1/01
フィンランド,,2023/Unnamed: 1/01
GCC6か国,105.0,2022/1/01
その他アジア,3163.0,2022/1/01
その他オセアニア,6.0,2022/1/01
その他ヨーロッパ,372.0,2022/1/01
その他北アメリカ,119.0,2022/1/01
その他南アメリカ,133.0,2022/1/01
アイルランド,72.0,2022/1/01
アフリカ計,331.0,2022/1/01
イスラエル,23.0,2022/1/01
イタリア,252.0,2022/1/01
インド,2058.0,2022/1/01
インドネシア,484.0,2022/1/01
オセアニア計,266.0,2022/1/01
オランダ,77.0,2022/1/01
オーストリア,39.0,2022/1/01
カナダ,223.0,2022/1/01
シンガポール,72.0,2022/1/01
スイス,40.0,2022/1/01
スウェーデン,65.0,2022/1/01
スペイン,301.0,2022/1/01
タイ,356.0,2022/1/01
デンマーク,45.0,2022/1/01
トルコ,33.0,2022/1/01
ドイツ,335.0,2022/1/01
ニュージーランド,40.0,2022/1/01
ノルウェー,28.0,2022/1/01
フィリピン,952.0,2022/1/01
フィンランド,42.0,2022/1/01
フランス,676.0,2022/1/01
ブラジル,279.0,2022/1/01
ベトナム,424.0,2022/1/01
ベルギー,47.0,2022/1/01
ポルトガル,22.0,2022/1/01
ポーランド,50.0,2022/1/01
マカオ,5.0,2022/1/01
マレーシア,171.0,2022/1/01
メキシコ,110.0,2022/1/01
モンゴル,186.0,2022/1/01
ヨーロッパ計,3168.0,2022/1/01
ロシア,220.0,2022/1/01
中国,1490.0,2022/1/01
北アメリカ計,2237.0,2022/1/01
南アメリカ計,412.0,2022/1/01
台湾,492.0,2022/1/01
無国籍・その他,3.0,2022/1/01
米国,1785.0,2022/1/01
英国,485.0,2022/1/01
豪州,220.0,2022/1/01
韓国,1264.0,2022/1/01
香港,71.0,2022/1/01
GCC6か国,815.0,2022/10/01
その他アジア,13944.0,2022/10/01
その他オセアニア,218.0,2022/10/01
その他ヨーロッパ,5294.0,2022/10/01
その他北アメリカ,579.0,2022/10/01
その他南アメリカ,1488.0,2022/10/01
アイルランド,827.0,2022/10/01
アフリカ計,2338.0,2022/10/01
イスラエル,2065.0,2022/10/01
イタリア,4505.0,2022/10/01
インド,6006.0,2022/10/01
インドネシア,11085.0,2022/10/01
オセアニア計,13720.0,2022/10/01
オランダ,2409.0,2022/10/01
オーストリア,1091.0,2022/10/01
カナダ,9847.0,2022/10/01
シンガポール,14336.0,2022/10/01
スイス,1852.0,2022/10/01
スウェーデン,1498.0,2022/10/01
スペイン,2819.0,2022/10/01
タイ,34115.0,2022/10/01
デンマーク,1175.0,2022/10/01
トルコ,1205.0,2022/10/01
ドイツ,8943.0,2022/10/01
ニュージーランド,1825.0,2022/10/01
ノルウェー,732.0,2022/10/01
フィリピン,14775.0,2022/10/01
フィンランド,885.0,2022/10/01
フランス,11074.0,2022/10/01
ブラジル,1489.0,2022/10/01
ベトナム,30811.0,2022/10/01
ベルギー,1375.0,2022/10/01
ポルトガル,648.0,2022/10/01
ポーランド,1110.0,2022/10/01
マカオ,186.0,2022/10/01
マレーシア,8773.0,2022/10/01
メキシコ,1951.0,2022/10/01
モンゴル,2010.0,2022/10/01
ヨーロッパ計,58126.0,2022/10/01
ロシア,1580.0,2022/10/01
中国,21498.0,2022/10/01
北アメリカ計,65619.0,2022/10/01
南アメリカ計,2977.0,2022/10/01
台湾,35028.0,2022/10/01
無国籍・その他,13.0,2022/10/01
米国,53242.0,2022/10/01
英国,10309.0,2022/10/01
豪州,11677.0,2022/10/01
韓国,122959.0,2022/10/01
香港,36242.0,2022/10/01
GCC6か国,1885.0,2022/11/01
その他アジア,19697.0,2022/11/01
その他オセアニア,236.0,2022/11/01
その他ヨーロッパ,5599.0,2022/11/01
その他北アメリカ,612.0,2022/11/01
その他南アメリカ,1693.0,2022/11/01
アイルランド,971.0,2022/11/01
アフリカ計,1933.0,2022/11/01
イスラエル,2744.0,2022/11/01
イタリア,5237.0,2022/11/01
インド,8357.0,2022/11/01
インドネシア,16960.0,2022/11/01
オセアニア計,23042.0,2022/11/01
オランダ,2732.0,2022/11/01
オーストリア,1030.0,2022/11/01
カナダ,15868.0,2022/11/01
シンガポール,40321.0,2022/11/01
スイス,1943.0,2022/11/01
スウェーデン,1754.0,2022/11/01
スペイン,3622.0,2022/11/01
タイ,52077.0,2022/11/01
デンマーク,1150.0,2022/11/01
トルコ,1893.0,2022/11/01
ドイツ,9673.0,2022/11/01
ニュージーランド,2613.0,2022/11/01
ノルウェー,755.0,2022/11/01
フィリピン,21689.0,2022/11/01
フィンランド,992.0,2022/11/01
フランス,10810.0,2022/11/01
ブラジル,1484.0,2022/11/01
ベトナム,33584.0,2022/11/01
ベルギー,1333.0,2022/11/01
ポルトガル,748.0,2022/11/01
ポーランド,1628.0,2022/11/01
マカオ,273.0,2022/11/01
マレーシア,17519.0,2022/11/01
メキシコ,2037.0,2022/11/01
モンゴル,2102.0,2022/11/01
ヨーロッパ計,65559.0,2022/11/01
ロシア,1975.0,2022/11/01
中国,21016.0,2022/11/01
北アメリカ計,102806.0,2022/11/01
南アメリカ計,3177.0,2022/11/01
台湾,99533.0,2022/11/01
無国籍・その他,22.0,2022/11/01
米国,84289.0,2022/11/01
英国,13607.0,2022/11/01
豪州,20193.0,2022/11/01
韓国,315421.0,2022/11/01
香港,82989.0,2022/11/01
GCC6か国,2015.0,2022/12/01
その他アジア,16070.0,2022/12/01
その他オセアニア,146.0,2022/12/01
その他ヨーロッパ,4426.0,2022/12/01
その他北アメリカ,626.0,2022/12/01
その他南アメリカ,1679.0,2022/12/01
アイルランド,894.0,2022/12/01
アフリカ計,2121.0,2022/12/01
イスラエル,821.0,2022/12/01
イタリア,4930.0,2022/12/01
インド,7447.0,2022/12/01
インドネシア,34411.0,2022/12/01
オセアニア計,46735.0,2022/12/01
オランダ,2595.0,2022/12/01
オーストリア,891.0,2022/12/01
カナダ,20610.0,2022/12/01
シンガポール,67043.0,2022/12/01
スイス,1954.0,2022/12/01
スウェーデン,1783.0,2022/12/01
スペイン,3485.0,2022/12/01
タイ,82997.0,2022/12/01
デンマーク,955.0,2022/12/01
トルコ,1928.0,2022/12/01
ドイツ,7745.0,2022/12/01
ニュージーランド,4754.0,2022/12/01
ノルウェー,886.0,2022/12/01
フィリピン,39953.0,2022/12/01
フィンランド,957.0,2022/12/01
フランス,10770.0,2022/12/01
ブラジル,2593.0,2022/12/01
ベトナム,28197.0,2022/12/01
ベルギー,1540.0,2022/12/01
ポルトガル,696.0,2022/12/01
ポーランド,929.0,2022/12/01
マカオ,692.0,2022/12/01
マレーシア,36228.0,2022/12/01
メキシコ,2497.0,2022/12/01
モンゴル,2423.0,2022/12/01
ヨーロッパ計,62316.0,2022/12/01
ロシア,1583.0,2022/12/01
中国,33567.0,2022/12/01
北アメリカ計,133217.0,2022/12/01
南アメリカ計,4272.0,2022/12/01
台湾,170159.0,2022/12/01
無国籍・その他,23.0,2022/12/01
米国,109484.0,2022/12/01
英国,15297.0,2022/12/01
豪州,41835.0,2022/12/01
韓国,456165.0,2022/12/01
香港,141314.0,2022/12/01
GCC6か国,36.0,2022/2/01
その他アジア,4078.0,2022/2/01
その他オセアニア,8.0,2022/2/01
その他ヨーロッパ,208.0,2022/2/01
その他北アメリカ,37.0,2022/2/01
その他南アメリカ,73.0,2022/2/01
アイルランド,19.0,2022/2/01
アフリカ計,282.0,2022/2/01
イスラエル,4.0,2022/2/01
イタリア,46.0,2022/2/01
インド,1660.0,2022/2/01
インドネシア,539.0,2022/2/01
オセアニア計,168.0,2022/2/01
オランダ,18.0,2022/2/01
オーストリア,9.0,2022/2/01
カナダ,101.0,2022/2/01
シンガポール,86.0,2022/2/01
スイス,21.0,2022/2/01
スウェーデン,12.0,2022/2/01
スペイン,53.0,2022/2/01
タイ,137.0,2022/2/01
デンマーク,11.0,2022/2/01
トルコ,37.0,2022/2/01
ドイツ,81.0,2022/2/01
ニュージーランド,26.0,2022/2/01
ノルウェー,10.0,2022/2/01
フィリピン,952.0,2022/2/01
フィンランド,11.0,2022/2/01
フランス,140.0,2022/2/01
ブラジル,117.0,2022/2/01
ベトナム,2613.0,2022/2/01
ベルギー,13.0,2022/2/01
ポルトガル,8.0,2022/2/01
ポーランド,9.0,2022/2/01
マカオ,3.0,2022/2/01
マレーシア,109.0,2022/2/01
メキシコ,22.0,2022/2/01
モンゴル,198.0,2022/2/01
ヨーロッパ計,929.0,2022/2/01
ロシア,112.0,2022/2/01
中国,2359.0,2022/2/01
北アメリカ計,755.0,2022/2/01
南アメリカ計,190.0,2022/2/01
台湾,601.0,2022/2/01
無国籍・その他,0.0,2022/2/01
米国,595.0,2022/2/01
英国,148.0,2022/2/01
豪州,134.0,2022/2/01
韓国,913.0,2022/2/01
香港,70.0,2022/2/01
GCC6か国,107.0,2022/3/01
その他アジア,8490.0,2022/3/01
その他オセアニア,38.0,2022/3/01
その他ヨーロッパ,1131.0,2022/3/01
その他北アメリカ,99.0,2022/3/01
その他南アメリカ,180.0,2022/3/01
アイルランド,62.0,2022/3/01
アフリカ計,772.0,2022/3/01
イスラエル,63.0,2022/3/01
イタリア,394.0,2022/3/01
インド,2279.0,2022/3/01
インドネシア,5486.0,2022/3/01
オセアニア計,756.0,2022/3/01
オランダ,195.0,2022/3/01
オーストリア,81.0,2022/3/01
カナダ,362.0,2022/3/01
シンガポール,294.0,2022/3/01
スイス,132.0,2022/3/01
スウェーデン,109.0,2022/3/01
スペイン,262.0,2022/3/01
タイ,2165.0,2022/3/01
デンマーク,87.0,2022/3/01
トルコ,126.0,2022/3/01
ドイツ,714.0,2022/3/01
ニュージーランド,106.0,2022/3/01
ノルウェー,80.0,2022/3/01
フィリピン,4211.0,2022/3/01
フィンランド,70.0,2022/3/01
フランス,835.0,2022/3/01
ブラジル,275.0,2022/3/01
ベトナム,10096.0,2022/3/01
ベルギー,129.0,2022/3/01
ポルトガル,68.0,2022/3/01
ポーランド,88.0,2022/3/01
マカオ,9.0,2022/3/01
マレーシア,569.0,2022/3/01
メキシコ,165.0,2022/3/01
モンゴル,1211.0,2022/3/01
ヨーロッパ計,5758.0,2022/3/01
ロシア,558.0,2022/3/01
中国,9799.0,2022/3/01
北アメリカ計,3825.0,2022/3/01
南アメリカ計,455.0,2022/3/01
台湾,2461.0,2022/3/01
無国籍・その他,7.0,2022/3/01
米国,3199.0,2022/3/01
英国,763.0,2022/3/01
豪州,612.0,2022/3/01
韓国,6694.0,2022/3/01
香港,488.0,2022/3/01
GCC6か国,109.0,2022/4/01
その他アジア,23359.0,2022/4/01
その他オセアニア,75.0,2022/4/01
その他ヨーロッパ,2360.0,2022/4/01
その他北アメリカ,180.0,2022/4/01
その他南アメリカ,373.0,2022/4/01
アイルランド,131.0,2022/4/01
アフリカ計,889.0,2022/4/01
イスラエル,147.0,2022/4/01
イタリア,800.0,2022/4/01
インド,3649.0,2022/4/01
インドネシア,11666.0,2022/4/01
オセアニア計,1422.0,2022/4/01
オランダ,381.0,2022/4/01
オーストリア,158.0,2022/4/01
カナダ,711.0,2022/4/01
シンガポール,597.0,2022/4/01
スイス,322.0,2022/4/01
スウェーデン,258.0,2022/4/01
スペイン,444.0,2022/4/01
タイ,3193.0,2022/4/01
デンマーク,167.0,2022/4/01
トルコ,181.0,2022/4/01
ドイツ,1649.0,2022/4/01
ニュージーランド,228.0,2022/4/01
ノルウェー,99.0,2022/4/01
フィリピン,8485.0,2022/4/01
フィンランド,147.0,2022/4/01
フランス,1735.0,2022/4/01
ブラジル,434.0,2022/4/01
ベトナム,29810.0,2022/4/01
ベルギー,175.0,2022/4/01
ポルトガル,153.0,2022/4/01
ポーランド,119.0,2022/4/01
マカオ,42.0,2022/4/01
マレーシア,1094.0,2022/4/01
メキシコ,217.0,2022/4/01
モンゴル,2086.0,2022/4/01
ヨーロッパ計,11459.0,2022/4/01
ロシア,751.0,2022/4/01
中国,22371.0,2022/4/01
北アメリカ計,6322.0,2022/4/01
南アメリカ計,807.0,2022/4/01
台湾,2838.0,2022/4/01
無国籍・その他,3.0,2022/4/01
米国,5214.0,2022/4/01
英国,1610.0,2022/4/01
豪州,1119.0,2022/4/01
韓国,7699.0,2022/4/01
香港,1320.0,2022/4/01
GCC6か国,140.0,2022/5/01
その他アジア,26373.0,2022/5/01
その他オセアニア,57.0,2022/5/01
その他ヨーロッパ,1577.0,2022/5/01
その他北アメリカ,186.0,2022/5/01
その他南アメリカ,371.0,2022/5/01
アイルランド,204.0,2022/5/01
アフリカ計,949.0,2022/5/01
イスラエル,273.0,2022/5/01
イタリア,897.0,2022/5/01
インド,4501.0,2022/5/01
インドネシア,8720.0,2022/5/01
オセアニア計,1780.0,2022/5/01
オランダ,534.0,2022/5/01
オーストリア,234.0,2022/5/01
カナダ,949.0,2022/5/01
シンガポール,1215.0,2022/5/01
スイス,314.0,2022/5/01
スウェーデン,332.0,2022/5/01
スペイン,517.0,2022/5/01
タイ,2922.0,2022/5/01
デンマーク,263.0,2022/5/01
トルコ,217.0,2022/5/01
ドイツ,2241.0,2022/5/01
ニュージーランド,220.0,2022/5/01
ノルウェー,134.0,2022/5/01
フィリピン,6699.0,2022/5/01
フィンランド,241.0,2022/5/01
フランス,2008.0,2022/5/01
ブラジル,348.0,2022/5/01
ベトナム,39040.0,2022/5/01
ベルギー,235.0,2022/5/01
ポルトガル,98.0,2022/5/01
ポーランド,190.0,2022/5/01
マカオ,32.0,2022/5/01
マレーシア,1636.0,2022/5/01
メキシコ,229.0,2022/5/01
モンゴル,1042.0,2022/5/01
ヨーロッパ計,12302.0,2022/5/01
ロシア,357.0,2022/5/01
中国,17643.0,2022/5/01
北アメリカ計,9430.0,2022/5/01
南アメリカ計,719.0,2022/5/01
台湾,1861.0,2022/5/01
無国籍・その他,3.0,2022/5/01
米国,8066.0,2022/5/01
英国,1926.0,2022/5/01
豪州,1503.0,2022/5/01
韓国,8805.0,2022/5/01
香港,744.0,2022/5/01
GCC6か国,237.0,2022/6/01
その他アジア,16775.0,2022/6/01
その他オセアニア,62.0,2022/6/01
その他ヨーロッパ,1690.0,2022/6/01
その他北アメリカ,122.0,2022/6/01
その他南アメリカ,439.0,2022/6/01
アイルランド,216.0,2022/6/01
アフリカ計,753.0,2022/6/01
イスラエル,239.0,2022/6/01
イタリア,1009.0,2022/6/01
インド,3454.0,2022/6/01
インドネシア,7041.0,2022/6/01
オセアニア計,2010.0,2022/6/01
オランダ,543.0,2022/6/01
オーストリア,219.0,2022/6/01
カナダ,1179.0,2022/6/01
シンガポール,1388.0,2022/6/01
スイス,350.0,2022/6/01
スウェーデン,444.0,2022/6/01
スペイン,539.0,2022/6/01
タイ,2544.0,2022/6/01
デンマーク,289.0,2022/6/01
トルコ,286.0,2022/6/01
ドイツ,2089.0,2022/6/01
ニュージーランド,309.0,2022/6/01
ノルウェー,141.0,2022/6/01
フィリピン,5935.0,2022/6/01
フィンランド,235.0,2022/6/01
フランス,2351.0,2022/6/01
ブラジル,424.0,2022/6/01
ベトナム,22877.0,2022/6/01
ベルギー,301.0,2022/6/01
ポルトガル,139.0,2022/6/01
ポーランド,263.0,2022/6/01
マカオ,12.0,2022/6/01
マレーシア,1165.0,2022/6/01
メキシコ,268.0,2022/6/01
モンゴル,1065.0,2022/6/01
ヨーロッパ計,13410.0,2022/6/01
ロシア,548.0,2022/6/01
中国,14657.0,2022/6/01
北アメリカ計,11293.0,2022/6/01
南アメリカ計,863.0,2022/6/01
台湾,2416.0,2022/6/01
無国籍・その他,9.0,2022/6/01
米国,9724.0,2022/6/01
英国,2044.0,2022/6/01
豪州,1639.0,2022/6/01
韓国,11168.0,2022/6/01
香港,833.0,2022/6/01
GCC6か国,343.0,2022/7/01
その他アジア,11877.0,2022/7/01
その他オセアニア,68.0,2022/7/01
その他ヨーロッパ,2263.0,2022/7/01
その他北アメリカ,217.0,2022/7/01
その他南アメリカ,476.0,2022/7/01
アイルランド,272.0,2022/7/01
アフリカ計,945.0,2022/7/01
イスラエル,322.0,2022/7/01
イタリア,1384.0,2022/7/01
インド,4178.0,2022/7/01
インドネシア,7212.0,2022/7/01
オセアニア計,2973.0,2022/7/01
オランダ,764.0,2022/7/01
オーストリア,379.0,2022/7/01
カナダ,1622.0,2022/7/01
シンガポール,1967.0,2022/7/01
スイス,653.0,2022/7/01
スウェーデン,368.0,2022/7/01
スペイン,816.0,2022/7/01
タイ,4794.0,2022/7/01
デンマーク,258.0,2022/7/01
トルコ,270.0,2022/7/01
ドイツ,3520.0,2022/7/01
ニュージーランド,575.0,2022/7/01
ノルウェー,157.0,2022/7/01
フィリピン,6888.0,2022/7/01
フィンランド,188.0,2022/7/01
フランス,3561.0,2022/7/01
ブラジル,527.0,2022/7/01
ベトナム,22738.0,2022/7/01
ベルギー,406.0,2022/7/01
ポルトガル,193.0,2022/7/01
ポーランド,328.0,2022/7/01
マカオ,35.0,2022/7/01
マレーシア,1616.0,2022/7/01
メキシコ,371.0,2022/7/01
モンゴル,1669.0,2022/7/01
ヨーロッパ計,19177.0,2022/7/01
ロシア,778.0,2022/7/01
中国,14803.0,2022/7/01
北アメリカ計,16337.0,2022/7/01
南アメリカ計,1003.0,2022/7/01
台湾,3945.0,2022/7/01
無国籍・その他,11.0,2022/7/01
米国,14127.0,2022/7/01
英国,2889.0,2022/7/01
豪州,2330.0,2022/7/01
韓国,20384.0,2022/7/01
香港,1091.0,2022/7/01
GCC6か国,262.0,2022/8/01
その他アジア,11272.0,2022/8/01
その他オセアニア,95.0,2022/8/01
その他ヨーロッパ,2442.0,2022/8/01
その他北アメリカ,299.0,2022/8/01
その他南アメリカ,596.0,2022/8/01
アイルランド,423.0,2022/8/01
アフリカ計,1358.0,2022/8/01
イスラエル,256.0,2022/8/01
イタリア,1582.0,2022/8/01
インド,5502.0,2022/8/01
インドネシア,6933.0,2022/8/01
オセアニア計,3386.0,2022/8/01
オランダ,630.0,2022/8/01
オーストリア,324.0,2022/8/01
カナダ,2009.0,2022/8/01
シンガポール,1763.0,2022/8/01
スイス,518.0,2022/8/01
スウェーデン,516.0,2022/8/01
スペイン,1116.0,2022/8/01
タイ,5115.0,2022/8/01
デンマーク,433.0,2022/8/01
トルコ,408.0,2022/8/01
ドイツ,3458.0,2022/8/01
ニュージーランド,594.0,2022/8/01
ノルウェー,230.0,2022/8/01
フィリピン,7824.0,2022/8/01
フィンランド,296.0,2022/8/01
フランス,3512.0,2022/8/01
ブラジル,602.0,2022/8/01
ベトナム,33052.0,2022/8/01
ベルギー,349.0,2022/8/01
ポルトガル,182.0,2022/8/01
ポーランド,339.0,2022/8/01
マカオ,13.0,2022/8/01
マレーシア,2248.0,2022/8/01
メキシコ,514.0,2022/8/01
モンゴル,2576.0,2022/8/01
ヨーロッパ計,20929.0,2022/8/01
ロシア,655.0,2022/8/01
中国,12332.0,2022/8/01
北アメリカ計,18645.0,2022/8/01
南アメリカ計,1198.0,2022/8/01
台湾,5007.0,2022/8/01
無国籍・その他,9.0,2022/8/01
米国,15823.0,2022/8/01
英国,3924.0,2022/8/01
豪州,2697.0,2022/8/01
韓国,28515.0,2022/8/01
香港,1299.0,2022/8/01
GCC6か国,571.0,2022/9/01
その他アジア,12790.0,2022/9/01
その他オセアニア,157.0,2022/9/01
その他ヨーロッパ,3541.0,2022/9/01
その他北アメリカ,391.0,2022/9/01
その他南アメリカ,715.0,2022/9/01
アイルランド,367.0,2022/9/01
アフリカ計,1942.0,2022/9/01
イスラエル,716.0,2022/9/01
イタリア,2647.0,2022/9/01
インド,5223.0,2022/9/01
インドネシア,9186.0,2022/9/01
オセアニア計,5663.0,2022/9/01
オランダ,1186.0,2022/9/01
オーストリア,570.0,2022/9/01
カナダ,2396.0,2022/9/01
シンガポール,2887.0,2022/9/01
スイス,818.0,2022/9/01
スウェーデン,761.0,2022/9/01
スペイン,1952.0,2022/9/01
タイ,7622.0,2022/9/01
デンマーク,570.0,2022/9/01
トルコ,545.0,2022/9/01
ドイツ,5300.0,2022/9/01
ニュージーランド,817.0,2022/9/01
ノルウェー,484.0,2022/9/01
フィリピン,8479.0,2022/9/01
フィンランド,544.0,2022/9/01
フランス,5310.0,2022/9/01
ブラジル,864.0,2022/9/01
ベトナム,30871.0,2022/9/01
ベルギー,708.0,2022/9/01
ポルトガル,221.0,2022/9/01
ポーランド,692.0,2022/9/01
マカオ,57.0,2022/9/01
マレーシア,2967.0,2022/9/01
メキシコ,771.0,2022/9/01
モンゴル,2699.0,2022/9/01
ヨーロッパ計,31372.0,2022/9/01
ロシア,1207.0,2022/9/01
中国,17590.0,2022/9/01
北アメリカ計,21523.0,2022/9/01
南アメリカ計,1579.0,2022/9/01
